L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2403173,114716,7228,3,26.00,44998.46,0.10,0.06,N,O,1996-08-07,1996-09-20,1996-08-17,"COLLECT COD",TRUCK,"ilent sauternes wake blithel"
2403173,24665,2172,4,2.00,3179.32,0.10,0.08,N,O,1996-10-20,1996-09-17,1996-11-02,"DELIVER IN PERSON","REG AIR","ess ideas integ"
2403173,137498,12,5,42.00,64490.58,0.10,0.08,N,O,1996-11-10,1996-09-13,1996-11-29,"TAKE BACK RETURN","REG AIR","ests. fluff"
2403173,118273,8274,6,28.00,36155.56,0.04,0.08,N,O,1996-08-09,1996-08-31,1996-08-30,"COLLECT COD",RAIL," slyly regular dolphins su"
2403173,9239,1740,7,45.00,51670.35,0.01,0.01,N,O,1996-11-02,1996-09-16,1996-11-13,"TAKE BACK RETURN",MAIL,"l excuses. ironic,"
2403174,64599,9612,1,50.00,78179.50,0.00,0.01,A,F,1992-04-26,1992-05-06,1992-05-19,"DELIVER IN PERSON",RAIL,"nal accounts across the ideas mainta"
2403174,114439,4440,2,16.00,23254.88,0.05,0.08,R,F,1992-04-14,1992-06-16,1992-04-20,"TAKE BACK RETURN",FOB,"ccording to the requests. p"
2403174,174044,9079,3,43.00,48075.72,0.06,0.02,A,F,1992-05-15,1992-05-22,1992-05-26,"COLLECT COD",MAIL," deposits m"
2403174,147954,7955,4,45.00,90087.75,0.09,0.03,A,F,1992-05-09,1992-05-05,1992-06-02,NONE,TRUCK," quickly express ideas ca"
2403174,47934,7935,5,5.00,9409.65,0.10,0.06,R,F,1992-06-16,1992-06-10,1992-06-17,"DELIVER IN PERSON","REG AIR","y even foxes. quickly regular dolphins h"
2403175,179527,7079,1,42.00,67473.84,0.10,0.04,A,F,1994-02-01,1994-04-28,1994-02-28,"TAKE BACK RETURN",FOB," express packages. bold packages after"
2403175,105792,8303,2,13.00,23371.27,0.07,0.05,A,F,1994-02-18,1994-04-17,1994-02-24,"TAKE BACK RETURN",SHIP,"es sleep furiously. expr"
2403175,33118,8125,3,14.00,14715.54,0.09,0.08,R,F,1994-03-14,1994-04-10,1994-04-04,"TAKE BACK RETURN",TRUCK,"ly express asymptotes det"
2403175,12894,398,4,48.00,86730.72,0.02,0.03,A,F,1994-03-31,1994-03-01,1994-04-28,"COLLECT COD",RAIL,"lly ironic excuses. deposits against t"
2403175,105843,864,5,47.00,86895.48,0.01,0.03,R,F,1994-03-06,1994-03-29,1994-04-02,"COLLECT COD",MAIL," around the bo"
2403200,55384,395,1,23.00,30805.74,0.05,0.06,N,O,1997-08-08,1997-07-27,1997-08-28,"COLLECT COD",TRUCK,"express theodolites. furio"
2403200,34569,2079,2,34.00,51121.04,0.07,0.00,N,O,1997-06-16,1997-07-16,1997-07-06,"DELIVER IN PERSON",FOB,"ages. blithely ironic waters nag quickly"
2403200,194195,9234,3,26.00,33518.94,0.02,0.02,N,O,1997-07-30,1997-09-02,1997-08-02,"COLLECT COD",TRUCK,"iously ironic accounts haggle blithel"
2403200,20339,2842,4,12.00,15111.96,0.00,0.05,N,O,1997-10-05,1997-09-07,1997-10-10,"COLLECT COD",RAIL,"ronic pearls. instructi"
2403200,23166,673,5,23.00,25050.68,0.02,0.06,N,O,1997-08-04,1997-07-09,1997-08-27,"COLLECT COD",TRUCK,"uickly silent pack"
2403201,132717,5231,1,2.00,3499.42,0.03,0.03,N,O,1996-06-13,1996-08-24,1996-06-30,"DELIVER IN PERSON",SHIP,"s across the regular, regular req"
2403201,158017,533,2,18.00,19350.18,0.10,0.08,N,O,1996-06-19,1996-08-11,1996-06-26,"COLLECT COD",TRUCK," after the special epitaphs. carefull"
2403201,180045,5082,3,43.00,48376.72,0.05,0.00,N,O,1996-07-15,1996-07-25,1996-08-04,NONE,TRUCK,"doubt fluffily "
2403201,13155,3156,4,30.00,32044.50,0.05,0.00,N,O,1996-05-31,1996-08-15,1996-06-12,"TAKE BACK RETURN",TRUCK,"e carefully permanent deposits"
2403201,88075,5600,5,29.00,30829.03,0.03,0.08,N,O,1996-05-31,1996-06-27,1996-06-14,"COLLECT COD",MAIL,"y. blithely even "
2403201,61635,4142,6,37.00,59075.31,0.07,0.07,N,O,1996-09-17,1996-07-24,1996-10-16,"COLLECT COD",TRUCK,"ic packages are furiously express packag"
2403201,90627,8155,7,50.00,80881.00,0.00,0.03,N,O,1996-09-15,1996-08-25,1996-09-18,NONE,AIR,"s cajole never special pinto beans. iro"
2403202,157592,2623,1,25.00,41239.75,0.07,0.04,N,O,1996-09-14,1996-06-19,1996-10-06,NONE,"REG AIR","uctions affix furiously i"
2403202,46241,3754,2,22.00,26119.28,0.00,0.03,N,O,1996-07-15,1996-07-06,1996-07-30,"TAKE BACK RETURN",SHIP,"ages across"
2403203,64569,9582,1,49.00,75144.44,0.02,0.06,A,F,1994-04-17,1994-03-25,1994-04-26,"TAKE BACK RETURN",SHIP,"l foxes are. c"
2403203,198295,8296,2,6.00,8359.74,0.01,0.00,A,F,1994-04-11,1994-02-22,1994-05-07,"COLLECT COD",RAIL,"ctions! blit"
2403203,135839,3379,3,40.00,74993.20,0.09,0.06,A,F,1994-02-25,1994-04-14,1994-03-27,"DELIVER IN PERSON","REG AIR","age even accounts. slyly even dependencies"
2403203,30318,319,4,41.00,51180.71,0.00,0.08,A,F,1994-02-05,1994-04-16,1994-03-04,"COLLECT COD",SHIP,"p above the furiously express inst"
2403203,146924,9439,5,12.00,23651.04,0.02,0.06,A,F,1994-04-27,1994-04-10,1994-04-30,NONE,AIR,"e even packages. even, pending pinto beans "
2403204,15315,318,1,24.00,29527.44,0.01,0.07,N,O,1996-08-25,1996-11-03,1996-09-11,"COLLECT COD",MAIL," foxes wake. pending, regula"
2403204,185033,5034,2,39.00,43603.17,0.05,0.06,N,O,1996-11-08,1996-10-09,1996-11-25,"TAKE BACK RETURN",AIR,". dogged requests wake along the quic"
2403204,42731,2732,3,34.00,56906.82,0.10,0.07,N,O,1996-12-06,1996-10-09,1996-12-19,"COLLECT COD",MAIL,"g the instruct"
2403204,177223,7224,4,4.00,5200.88,0.01,0.05,N,O,1996-11-04,1996-10-30,1996-11-12,"DELIVER IN PERSON",SHIP,"quests haggle carefully. bli"
2403205,45438,2951,1,16.00,22134.88,0.06,0.00,R,F,1993-12-26,1993-12-10,1994-01-23,"DELIVER IN PERSON","REG AIR","ntly bold deposi"
2403205,71815,1816,2,28.00,50030.68,0.06,0.08,R,F,1993-11-11,1993-12-31,1993-12-09,"TAKE BACK RETURN",FOB,"cies nag furiously final deposits. reque"
2403205,184264,1819,3,42.00,56626.92,0.02,0.03,A,F,1994-02-17,1993-12-29,1994-03-01,"TAKE BACK RETURN",MAIL,"longside of the caref"
2403205,121148,1149,4,5.00,5845.70,0.03,0.00,A,F,1993-10-27,1993-11-27,1993-11-06,"COLLECT COD",MAIL,"in instructions about"
2403205,132404,2405,5,16.00,22982.40,0.07,0.07,R,F,1993-12-24,1994-01-09,1994-01-17,"DELIVER IN PERSON",FOB,"rate among the fluffily ev"
2403205,109862,7393,6,36.00,67386.96,0.07,0.04,A,F,1994-01-30,1993-12-24,1994-02-20,"DELIVER IN PERSON",TRUCK,"totes! blithely regular accounts hagg"
2403206,183193,748,1,41.00,52323.79,0.06,0.03,R,F,1994-05-26,1994-05-07,1994-05-29,"COLLECT COD",SHIP,"deposits dazzle blithely against "
2403206,109700,4721,2,17.00,29064.90,0.10,0.00,R,F,1994-03-29,1994-05-07,1994-04-07,NONE,FOB,"unts sleep. furiously pend"
2403206,123835,3836,3,34.00,63200.22,0.04,0.07,A,F,1994-04-15,1994-05-05,1994-05-12,"DELIVER IN PERSON",FOB,"en instructions haggle across the accou"
2403206,84590,2115,4,42.00,66132.78,0.07,0.02,A,F,1994-06-28,1994-04-27,1994-07-03,"COLLECT COD","REG AIR","ial requests sleep i"
2403206,89346,9347,5,40.00,53413.60,0.01,0.06,R,F,1994-05-06,1994-06-09,1994-05-15,"DELIVER IN PERSON",FOB,"ts. regular multip"
2403206,24910,4911,6,30.00,55047.30,0.07,0.04,R,F,1994-04-02,1994-06-23,1994-04-26,"COLLECT COD",FOB,"nst the slyly specia"
2403206,61260,8779,7,22.00,26867.72,0.02,0.05,R,F,1994-04-28,1994-05-19,1994-05-12,NONE,MAIL," express, pending excuses. bold, regular do"
2403207,194380,4381,1,6.00,8846.28,0.06,0.06,R,F,1993-05-10,1993-06-27,1993-06-02,"DELIVER IN PERSON",AIR,"eep blithely among the sometim"
2403207,138256,5796,2,50.00,64712.50,0.01,0.06,R,F,1993-08-11,1993-06-04,1993-08-13,"DELIVER IN PERSON","REG AIR","ly. even, r"
2403232,105929,5930,1,30.00,58047.60,0.08,0.01,N,O,1995-11-25,1995-11-08,1995-12-11,NONE,RAIL,"eas cajole fluffily"
2403232,148022,5565,2,5.00,5350.10,0.00,0.00,N,O,1995-09-27,1995-11-04,1995-10-05,"TAKE BACK RETURN",FOB,"n ideas are."
2403232,1870,9371,3,11.00,19490.57,0.06,0.04,N,O,1995-12-20,1995-11-03,1996-01-15,"TAKE BACK RETURN",AIR,", regular dol"
2403232,12616,2617,4,32.00,48915.52,0.07,0.05,N,O,1995-11-26,1995-10-26,1995-12-18,"DELIVER IN PERSON",AIR,"accounts boost. slyly reg"
2403232,25970,975,5,17.00,32231.49,0.09,0.04,N,O,1995-11-10,1995-11-11,1995-11-25,NONE,"REG AIR","thely ironic requests need to n"
2403232,72278,7293,6,39.00,48760.53,0.00,0.04,N,O,1995-12-30,1995-11-05,1996-01-19,"TAKE BACK RETURN",FOB,"ruthless platelets are slyly. "
2403232,172810,7845,7,24.00,45187.44,0.02,0.08,N,O,1995-10-25,1995-11-11,1995-11-03,"COLLECT COD",SHIP,"oxes. blithely final fre"
2403233,13469,973,1,33.00,45621.18,0.01,0.07,N,O,1995-10-31,1995-11-22,1995-11-27,NONE,FOB,"uests are. unusual, iron"
2403233,165198,7715,2,43.00,54317.17,0.10,0.08,N,O,1995-12-18,1995-11-23,1995-12-24,NONE,FOB,"mptotes affix bl"
2403234,186756,4311,1,38.00,70024.50,0.06,0.01,N,O,1997-05-15,1997-06-13,1997-06-02,"DELIVER IN PERSON",RAIL,"lithely across the final packages. ca"
2403234,1459,8960,2,50.00,68022.50,0.02,0.07,N,O,1997-06-21,1997-06-06,1997-07-17,"TAKE BACK RETURN",TRUCK,"ithely regular accounts afte"
2403234,113560,8583,3,14.00,22029.84,0.10,0.08,N,O,1997-05-04,1997-07-02,1997-05-28,NONE,RAIL,"against the foxes. fl"
2403235,133230,5744,1,15.00,18948.45,0.10,0.05,N,O,1996-07-20,1996-08-13,1996-08-14,"DELIVER IN PERSON",RAIL,"s sleep idly carefully even "
2403235,180201,5238,2,41.00,52529.20,0.01,0.03,N,O,1996-10-08,1996-09-03,1996-11-06,NONE,TRUCK,"osits. pending ideas sleep"
2403235,30330,2834,3,5.00,6301.65,0.08,0.04,N,O,1996-08-24,1996-09-06,1996-08-30,"COLLECT COD",MAIL,"ending packages ar"
2403235,155811,5812,4,1.00,1866.81,0.01,0.04,N,O,1996-10-02,1996-08-03,1996-10-06,NONE,MAIL,"y after the blithely even requests: slyly "
2403235,108283,8284,5,36.00,46486.08,0.08,0.06,N,O,1996-09-11,1996-08-09,1996-09-24,"COLLECT COD",RAIL,"ts. carefully bold accounts ru"
2403235,96263,6264,6,8.00,10074.08,0.02,0.07,N,O,1996-08-03,1996-09-20,1996-08-10,"TAKE BACK RETURN",MAIL,"ss the fluffily bold asymptotes. ideas d"
2403235,79066,6588,7,1.00,1045.06,0.00,0.06,N,O,1996-08-27,1996-09-21,1996-08-29,"TAKE BACK RETURN",RAIL," braids sleep qu"
2403236,49153,9154,1,43.00,47392.45,0.10,0.00,N,O,1997-05-17,1997-06-20,1997-05-21,"DELIVER IN PERSON","REG AIR","ly bold requests"
2403236,107206,4737,2,39.00,47314.80,0.05,0.08,N,O,1997-07-04,1997-05-26,1997-07-25,"COLLECT COD",TRUCK," platelets. packages are entic"
2403237,198669,1189,1,50.00,88383.00,0.04,0.06,R,F,1993-07-12,1993-06-03,1993-08-10,"DELIVER IN PERSON","REG AIR","ily final requests af"
2403237,15545,5546,2,24.00,35052.96,0.03,0.06,A,F,1993-08-15,1993-07-23,1993-08-26,"COLLECT COD",TRUCK,"ounts. regular, express depen"
2403237,57693,5209,3,34.00,56123.46,0.05,0.02,A,F,1993-05-10,1993-07-09,1993-05-12,"COLLECT COD",RAIL,"luffily bold packages ha"
2403237,34136,4137,4,25.00,26753.25,0.07,0.03,R,F,1993-06-28,1993-06-14,1993-07-05,"COLLECT COD",SHIP,"ckages above the special packages dazzl"
2403237,113962,8985,5,27.00,53350.92,0.08,0.00,A,F,1993-05-16,1993-07-11,1993-05-26,"TAKE BACK RETURN","REG AIR","egular patterns detect"
2403238,150102,103,1,15.00,17281.50,0.05,0.07,R,F,1994-04-24,1994-03-02,1994-04-25,"DELIVER IN PERSON",SHIP," the special ideas. bold,"
2403238,156523,1554,2,16.00,25272.32,0.08,0.05,R,F,1994-04-01,1994-02-25,1994-05-01,"COLLECT COD",TRUCK,"ual patterns haggle furiously unusual"
2403238,68745,6264,3,35.00,59980.90,0.07,0.02,A,F,1994-04-24,1994-02-24,1994-04-25,"DELIVER IN PERSON",AIR,"instructions. requests promise slyly reg"
2403238,190393,394,4,26.00,38568.14,0.09,0.02,A,F,1994-03-15,1994-03-22,1994-03-29,"DELIVER IN PERSON",FOB,"ithely acco"
2403238,129304,4329,5,50.00,66665.00,0.05,0.05,R,F,1994-01-09,1994-03-11,1994-01-14,"COLLECT COD",FOB,"theodolites boost across the fluffil"
2403238,197392,9912,6,50.00,74469.50,0.00,0.00,A,F,1994-02-20,1994-02-24,1994-03-15,"COLLECT COD",MAIL,"ular instructions cajole blithely unus"
2403238,157921,2952,7,50.00,98946.00,0.00,0.00,A,F,1994-02-08,1994-03-15,1994-02-28,"COLLECT COD",TRUCK,"pinto beans. pinto beans instead of the dep"
2403239,172716,268,1,18.00,32196.78,0.00,0.01,N,O,1996-08-27,1996-07-05,1996-09-17,"COLLECT COD","REG AIR","d requests. slyly pending excuses haggle f"
2403239,24068,9073,2,28.00,27777.68,0.00,0.03,N,O,1996-08-01,1996-06-04,1996-08-14,NONE,AIR,"y even the"
2403264,70914,3422,1,34.00,64086.94,0.03,0.05,N,O,1998-01-20,1998-03-02,1998-02-08,NONE,AIR," forges run carefully unusual"
2403265,127388,9901,1,5.00,7076.90,0.09,0.07,N,O,1997-09-15,1997-10-05,1997-10-07,"DELIVER IN PERSON","REG AIR","s instructions c"
2403265,194692,2250,2,34.00,60747.46,0.05,0.02,N,O,1997-09-20,1997-09-09,1997-10-08,"TAKE BACK RETURN",RAIL,"eposits are a"
2403265,181778,9333,3,7.00,13018.39,0.05,0.06,N,O,1997-11-18,1997-09-28,1997-12-11,"DELIVER IN PERSON",MAIL,"ests. ironic realms use carefull"
2403265,134194,4195,4,21.00,25791.99,0.06,0.06,N,O,1997-08-09,1997-09-10,1997-09-03,"TAKE BACK RETURN","REG AIR","y quiet packages at the slow accounts"
2403265,186600,4155,5,15.00,25299.00,0.10,0.02,N,O,1997-09-28,1997-10-04,1997-10-15,NONE,"REG AIR","nic, special "
2403265,184363,4364,6,29.00,41973.44,0.01,0.00,N,O,1997-10-29,1997-09-21,1997-11-07,"DELIVER IN PERSON",AIR,"final sheaves! carefully slow for"
2403265,187509,5064,7,33.00,52684.50,0.01,0.02,N,O,1997-09-19,1997-09-03,1997-10-19,NONE,RAIL,"sits ought to w"
2403266,58412,5928,1,27.00,37001.07,0.10,0.04,N,O,1996-09-17,1996-09-12,1996-10-15,"DELIVER IN PERSON",RAIL,"slyly regular ideas along the quick"
2403266,123763,8788,2,42.00,75043.92,0.00,0.03,N,O,1996-08-05,1996-08-28,1996-08-12,"DELIVER IN PERSON",RAIL,"gular foxes. "
2403266,81440,1441,3,23.00,32693.12,0.02,0.07,N,O,1996-10-30,1996-09-10,1996-11-05,NONE,RAIL,"requests use fur"
2403266,158867,1383,4,26.00,50072.36,0.03,0.07,N,O,1996-10-17,1996-09-01,1996-11-04,NONE,AIR,", bold accounts dazzle across the"
2403267,98750,3769,1,5.00,8743.75,0.07,0.06,A,F,1994-08-19,1994-09-29,1994-08-21,"DELIVER IN PERSON","REG AIR","yly even deposits are permanently r"
2403267,84481,2006,2,21.00,30775.08,0.04,0.01,R,F,1994-10-10,1994-08-29,1994-10-18,"DELIVER IN PERSON",FOB,"riously express dolphins"
2403267,66292,3811,3,39.00,49073.31,0.09,0.00,R,F,1994-08-16,1994-09-28,1994-09-04,NONE,FOB,"rate carefully. sp"
2403268,79171,9172,1,13.00,14952.21,0.08,0.08,A,F,1992-06-20,1992-04-25,1992-06-22,"DELIVER IN PERSON",TRUCK,"tes cajole furiously. quickly express "
2403268,24404,9409,2,1.00,1328.40,0.02,0.02,A,F,1992-05-20,1992-04-17,1992-06-01,"TAKE BACK RETURN",MAIL,"y unusual asymptote"
2403268,144768,7283,3,26.00,47131.76,0.04,0.01,R,F,1992-05-05,1992-05-24,1992-06-01,NONE,TRUCK,"old packages. b"
2403268,109309,1820,4,17.00,22411.10,0.02,0.08,R,F,1992-06-20,1992-05-29,1992-07-03,"COLLECT COD",SHIP,"ong the steal"
2403268,143234,5749,5,43.00,54920.89,0.09,0.00,A,F,1992-04-08,1992-04-11,1992-04-30,"COLLECT COD",TRUCK,"uffily along the carefu"
2403268,129104,1617,6,29.00,32859.90,0.02,0.08,R,F,1992-04-02,1992-04-14,1992-05-02,"DELIVER IN PERSON",AIR," dependencies believe furiously quickly ir"
2403269,94656,7166,1,28.00,46218.20,0.07,0.05,N,O,1996-01-03,1995-11-15,1996-01-21,"TAKE BACK RETURN",RAIL,"s unwind b"
2403269,75077,2599,2,50.00,52603.50,0.07,0.08,N,O,1995-11-01,1995-12-02,1995-12-01,"TAKE BACK RETURN",RAIL,"regular instructi"
2403269,11703,9207,3,47.00,75890.90,0.06,0.04,N,O,1995-12-17,1995-12-05,1996-01-08,"TAKE BACK RETURN",TRUCK,"he final deposits. brave"
2403269,86463,3988,4,34.00,49281.64,0.09,0.01,N,O,1995-09-22,1995-11-28,1995-10-13,"TAKE BACK RETURN",RAIL,"dependencies nag evenly. "
2403270,20410,5415,1,14.00,18625.74,0.00,0.05,N,O,1998-06-25,1998-05-23,1998-07-19,"TAKE BACK RETURN",AIR,"arly bold requests. iron"
2403270,20702,5707,2,47.00,76266.90,0.08,0.07,N,O,1998-04-22,1998-05-16,1998-05-20,"COLLECT COD","REG AIR","ccounts. furiously expres"
2403270,133557,6071,3,40.00,63622.00,0.10,0.02,N,O,1998-03-30,1998-04-25,1998-04-10,"COLLECT COD",AIR,"posits over the bold, pending instructions"
2403270,80846,3355,4,47.00,85861.48,0.00,0.03,N,O,1998-06-22,1998-04-28,1998-07-10,"TAKE BACK RETURN",TRUCK," accounts sleep boldly carefully fi"
2403271,51016,3522,1,27.00,26109.27,0.04,0.00,A,F,1992-05-08,1992-04-14,1992-06-01,NONE,SHIP,"ggle according to the even, ironic accoun"
2403271,14997,7499,2,17.00,32503.83,0.09,0.07,R,F,1992-05-17,1992-05-04,1992-06-05,"COLLECT COD",FOB,"use fluffily. special"
2403271,42581,94,3,45.00,68561.10,0.02,0.08,R,F,1992-03-27,1992-05-03,1992-04-04,"COLLECT COD","REG AIR","lar excuses wake boldly ironic depos"
2403271,54713,9724,4,11.00,18344.81,0.00,0.02,R,F,1992-04-02,1992-03-13,1992-04-18,"DELIVER IN PERSON",SHIP,heodolites.
2403271,160975,3492,5,14.00,28503.58,0.07,0.06,R,F,1992-03-13,1992-03-08,1992-03-18,"COLLECT COD",MAIL,"nusual accounts hinder above the furiously "
2403296,169915,9916,1,43.00,85351.13,0.01,0.03,N,O,1997-09-01,1997-08-19,1997-09-07,"DELIVER IN PERSON",AIR,"nts unwind furiously even, final "
2403296,155429,460,2,16.00,23750.72,0.07,0.05,N,O,1997-09-27,1997-09-04,1997-10-25,"TAKE BACK RETURN",FOB,"he slyly ironic instructions? accounts "
2403297,11728,9232,1,28.00,45912.16,0.08,0.02,N,O,1996-07-18,1996-07-06,1996-07-29,"TAKE BACK RETURN",RAIL,"s breach above the blithely "
2403297,99960,2470,2,37.00,72518.52,0.10,0.01,N,O,1996-08-15,1996-06-02,1996-09-05,"TAKE BACK RETURN",MAIL,"ly regular requests nag idly bold pinto be"
2403297,21463,3966,3,6.00,8306.76,0.07,0.07,N,O,1996-06-26,1996-06-24,1996-07-07,"TAKE BACK RETURN",RAIL," boost above th"
2403297,118460,8461,4,5.00,7392.30,0.03,0.07,N,O,1996-05-31,1996-06-12,1996-06-10,"TAKE BACK RETURN",RAIL," deposits are ca"
2403297,149732,2247,5,45.00,80177.85,0.04,0.02,N,O,1996-08-16,1996-05-24,1996-08-20,NONE,AIR,"ously. ironic asymptotes was. bold ideas "
2403297,138078,3105,6,17.00,18973.19,0.10,0.06,N,O,1996-06-28,1996-06-24,1996-07-17,"TAKE BACK RETURN",SHIP,"slyly final foxes in"
2403298,79401,9402,1,41.00,56596.40,0.04,0.08,A,F,1992-10-05,1992-08-16,1992-11-03,"DELIVER IN PERSON",FOB,"structions. slyly pending packages doz"
2403298,83524,1049,2,30.00,45225.60,0.04,0.00,A,F,1992-10-09,1992-09-17,1992-10-20,"COLLECT COD",TRUCK,"ost slyly about the slyly bold deposits. b"
2403298,175799,3351,3,37.00,69367.23,0.04,0.05,A,F,1992-07-11,1992-08-30,1992-07-18,"DELIVER IN PERSON",FOB," ironic, ironic packages sle"
2403298,48841,3850,4,21.00,37586.64,0.02,0.02,A,F,1992-09-21,1992-09-04,1992-09-29,"DELIVER IN PERSON",RAIL,"ly pending packages lose fluffi"
2403298,54085,1601,5,45.00,46758.60,0.06,0.04,A,F,1992-07-22,1992-08-07,1992-08-17,NONE,"REG AIR","sts cajole blithely along "
2403298,191734,1735,6,26.00,47468.98,0.01,0.06,R,F,1992-08-22,1992-09-02,1992-09-19,"COLLECT COD","REG AIR","lyly across the even pearls. slyly speci"
2403299,18554,6058,1,4.00,5890.20,0.00,0.04,N,O,1995-11-18,1995-10-07,1995-12-15,"COLLECT COD",RAIL,"accounts-- final escapades ac"
2403299,36047,1054,2,10.00,9830.40,0.03,0.04,N,O,1995-09-29,1995-10-24,1995-10-10,"DELIVER IN PERSON","REG AIR","refully regular braids. slyly b"
2403299,35050,2560,3,22.00,21671.10,0.10,0.05,N,O,1995-10-10,1995-12-04,1995-11-01,NONE,"REG AIR","instructions use ironic platelets."
2403300,51534,4040,1,34.00,50508.02,0.07,0.04,R,F,1992-04-10,1992-06-05,1992-04-11,NONE,"REG AIR","t the carefully final foxes nag furiously"
2403300,125250,2787,2,49.00,62487.25,0.10,0.02,R,F,1992-04-16,1992-05-05,1992-04-29,"COLLECT COD",TRUCK,"nstructions; pending accounts "
2403300,61289,3796,3,6.00,7501.68,0.05,0.04,R,F,1992-04-24,1992-06-06,1992-05-21,NONE,RAIL,"long the packages: fluffily regular d"
2403300,72939,7954,4,6.00,11471.58,0.07,0.01,R,F,1992-04-15,1992-05-24,1992-04-21,"DELIVER IN PERSON",SHIP,"lar instruct"
2403300,79388,9389,5,33.00,45123.54,0.07,0.00,R,F,1992-04-08,1992-04-22,1992-04-20,"TAKE BACK RETURN",AIR,"kly regular ide"
2403300,61377,1378,6,28.00,37474.36,0.05,0.07,A,F,1992-03-31,1992-05-12,1992-04-13,"TAKE BACK RETURN",FOB," against th"
2403300,154605,2151,7,50.00,82980.00,0.05,0.07,R,F,1992-04-06,1992-05-14,1992-04-30,NONE,FOB,"express pinto beans"
2403301,45133,2646,1,11.00,11859.43,0.02,0.04,N,O,1995-10-24,1995-08-31,1995-11-23,NONE,TRUCK,"ar deposits sleep fluffily carefully pendin"
2403301,145280,309,2,12.00,15903.36,0.02,0.07,N,O,1995-09-20,1995-09-29,1995-09-25,"COLLECT COD","REG AIR","lyly express decoys nag fluffily"
2403302,178873,3908,1,14.00,27326.18,0.05,0.07,R,F,1995-03-10,1995-03-04,1995-03-15,"DELIVER IN PERSON",AIR,"efully final deposits."
2403302,110297,7831,2,18.00,23531.22,0.05,0.05,A,F,1994-12-31,1995-02-02,1995-01-12,"DELIVER IN PERSON",FOB," ideas cajole slowly"
2403302,153653,8684,3,43.00,73385.95,0.03,0.07,A,F,1994-12-18,1995-01-16,1994-12-23,NONE,SHIP,"ithely above the furiously i"
2403303,100362,363,1,37.00,50407.32,0.05,0.05,N,O,1998-04-27,1998-02-02,1998-05-23,"COLLECT COD","REG AIR","iously special instructions. express, fin"
2403328,165131,5132,1,37.00,44256.81,0.04,0.00,R,F,1992-08-04,1992-08-27,1992-08-13,"COLLECT COD",SHIP,"sts. carefully final deposits ar"
2403328,145863,3406,2,1.00,1908.86,0.04,0.01,R,F,1992-08-24,1992-10-01,1992-09-17,"COLLECT COD",SHIP,". quickly express"
2403328,111183,6206,3,29.00,34631.22,0.03,0.01,R,F,1992-09-02,1992-09-16,1992-09-29,"DELIVER IN PERSON",TRUCK,"xes affix furiously according to the slyly "
2403328,45903,912,4,26.00,48071.40,0.04,0.03,R,F,1992-08-31,1992-09-04,1992-09-05,"COLLECT COD",RAIL,"are around the even, special packages"
2403329,121486,9023,1,28.00,42209.44,0.01,0.08,A,F,1994-01-17,1994-02-28,1994-01-20,NONE,TRUCK," along the unusual accounts. theod"
2403329,8882,3883,2,8.00,14327.04,0.04,0.06,R,F,1993-12-28,1994-03-02,1994-01-25,"COLLECT COD",RAIL,"efully ironic asymptotes "
2403329,78062,570,3,20.00,20801.20,0.00,0.05,R,F,1994-02-26,1994-02-22,1994-03-17,NONE,FOB,"en packages atop the unusual, regul"
2403329,187378,9897,4,25.00,36634.25,0.05,0.03,A,F,1994-01-23,1994-02-22,1994-01-27,NONE,AIR,"es silent grouches. regular accoun"
2403329,57717,223,5,43.00,72012.53,0.03,0.04,R,F,1993-12-23,1994-01-25,1994-01-08,"COLLECT COD",SHIP,"ost among the even, iro"
2403329,39423,9424,6,19.00,25885.98,0.04,0.00,A,F,1994-01-01,1994-02-12,1994-01-12,"DELIVER IN PERSON","REG AIR","uests alon"
2403329,172013,2014,7,19.00,20615.19,0.05,0.00,A,F,1994-01-08,1994-02-05,1994-01-22,NONE,MAIL,"lyly at the stealthily pending accou"
2403330,20001,7508,1,44.00,40524.00,0.02,0.03,R,F,1993-03-15,1993-02-20,1993-03-19,"DELIVER IN PERSON",AIR," the blithely even braids wake slyly alo"
2403331,82070,9595,1,32.00,33666.24,0.00,0.04,A,F,1993-09-13,1993-10-12,1993-10-12,"COLLECT COD",RAIL,"sly regular foxes. blithely bold depo"
2403331,136304,3844,2,5.00,6701.50,0.03,0.02,R,F,1993-10-31,1993-10-09,1993-11-04,"TAKE BACK RETURN",AIR,"side of the furio"
2403331,45660,5661,3,16.00,25690.56,0.00,0.00,A,F,1993-11-17,1993-10-19,1993-12-09,NONE,FOB,"tions. caref"
2403331,198323,5881,4,8.00,11370.56,0.04,0.03,A,F,1993-11-12,1993-11-12,1993-11-13,"TAKE BACK RETURN",SHIP,"ltipliers. ruthlessly "
2403332,57868,5384,1,49.00,89467.14,0.02,0.01,R,F,1995-01-14,1994-11-09,1995-01-19,"DELIVER IN PERSON",RAIL,"usual theodolites. asymptotes wake darin"
2403332,173082,634,2,36.00,41582.88,0.06,0.00,A,F,1994-12-15,1994-12-11,1995-01-13,"DELIVER IN PERSON","REG AIR","ests. enticing dolphins prom"
