O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
3005923,4237,O,114249.37,1998-04-03,3-MEDIUM,"Clerk#000000811",0,"ven, express deposits. furiou"
3005924,99352,F,57767.77,1993-11-07,5-LOW,"Clerk#000000986",0,"dolites wake carefully"
3005925,137069,F,260137.27,1992-12-01,"4-NOT SPECIFIED","Clerk#000000570",0,". ironic, special accounts after the slyly ironic theodolit"
3005926,8701,F,214025.58,1994-06-29,3-MEDIUM,"Clerk#000000432",0,"dolites haggle according to the carefully express accounts. blithely bold "
3005927,114179,O,250800.46,1995-09-08,2-HIGH,"Clerk#000000185",0,"old packages boost blithely above the permanent, regular requ"
3005952,47848,F,62592.34,1994-11-05,5-LOW,"Clerk#000000132",0,"lar instructions snooze silentl"
3005953,149413,O,110675.40,1996-08-18,5-LOW,"Clerk#000000437",0,"s. express packages haggle blithely according to the fur"
3005954,22612,O,97976.50,1995-10-31,"4-NOT SPECIFIED","Clerk#000000988",0," dolphins are slyly along the ironic pinto beans. fina"
3005955,85100,O,200540.18,1997-06-26,"4-NOT SPECIFIED","Clerk#000000105",0,"ackages. regular, regular "
3005956,17923,F,119454.51,1992-10-21,5-LOW,"Clerk#000000737",0,"cording to the bold deposits. furiousl"
3005957,29525,F,149995.24,1993-12-31,1-URGENT,"Clerk#000000905",0," theodolites. express, bold requests inte"
3005958,9962,O,116713.59,1996-07-06,3-MEDIUM,"Clerk#000000810",0,"y ironic excuses affix slyly even packages. platelet"
3005959,30716,F,131397.54,1993-12-01,1-URGENT,"Clerk#000000243",0,"requests. quickly unusual requests affix carefully blithely "
3005984,77029,O,69074.30,1996-02-04,5-LOW,"Clerk#000000577",0,"blithely. quickly regular theodolites ki"
3005985,115333,F,59165.50,1993-09-29,3-MEDIUM,"Clerk#000000667",0,"lithely regular accounts ha"
3005986,95710,F,341082.69,1994-11-21,1-URGENT,"Clerk#000000936",0,"onic asymptotes. never special packages haggle along the flu"
3005987,123346,O,270034.76,1995-10-29,"4-NOT SPECIFIED","Clerk#000000280",0,"ending escapades sleep alongside of the ironic pinto beans."
3005988,73873,O,244104.63,1997-05-10,5-LOW,"Clerk#000000928",0," furiously unusual accounts. r"
3005989,22504,F,208361.23,1993-09-26,2-HIGH,"Clerk#000000713",0,"ong the ironic foxes. care"
3005990,54266,F,113409.67,1992-05-26,2-HIGH,"Clerk#000000113",0,"tructions use furiously. slyly ironic pinto beans "
3005991,42413,O,141586.66,1995-10-27,3-MEDIUM,"Clerk#000000621",0,"dependencies cajole furi"
3006016,30877,O,147970.34,1996-11-08,2-HIGH,"Clerk#000000001",0,"s! carefully even dependencies u"
3006017,69559,F,139710.39,1994-12-15,3-MEDIUM,"Clerk#000000530",0,"unts. ironic, careful instructions after the quietly even cour"
3006018,118355,F,166223.89,1992-07-26,3-MEDIUM,"Clerk#000000736",0,"around the requests. carefully pending"
3006019,37081,O,56300.43,1995-08-17,3-MEDIUM,"Clerk#000000051",0,"ular excuses affix. quickl"
3006020,100048,F,155295.09,1992-08-07,5-LOW,"Clerk#000000785",0,"cies. slyly even accounts instead of the fin"
3006021,138139,O,45840.28,1995-06-25,1-URGENT,"Clerk#000000373",0,"ounts. ironic packages nag. slowly ironic platelets wake"
3006022,130150,O,227779.45,1997-04-17,5-LOW,"Clerk#000000140",0,"arefully. slyly quiet requests hang carefully "
3006023,109421,O,196850.80,1996-08-07,5-LOW,"Clerk#000000198",0,"fully slyly even requests! quickly even accounts nag fluffily. c"
3006048,25438,O,248482.25,1997-06-03,1-URGENT,"Clerk#000000895",0,"he furiously special theodolites. furious"
3006049,29195,O,46345.66,1997-10-22,2-HIGH,"Clerk#000000894",0,"nding packages are carefully across the pending accounts. express, special"
3006050,14098,O,70383.96,1996-01-03,"4-NOT SPECIFIED","Clerk#000000899",0,"he idly ironic deposits sleep among the regular excuses. permanently iro"
3006051,76930,F,124983.20,1994-01-03,3-MEDIUM,"Clerk#000000806",0,"ests sleep among the even sentiments. quickly regular requests are. regul"
3006052,111754,O,191683.75,1997-02-10,3-MEDIUM,"Clerk#000000653",0," packages haggle slyly-- regular, ironic deposits cajole. furiously pending r"
3006053,84064,F,306347.81,1992-06-27,"4-NOT SPECIFIED","Clerk#000000792",0,"ding ideas. furiously final accounts above the fluffily regular dolphins c"
3006054,138496,O,66972.18,1998-05-24,1-URGENT,"Clerk#000000061",0,"ding to the careful"
3006055,2185,O,186945.51,1997-12-13,1-URGENT,"Clerk#000000982",0,"gular packages after the furiously final foxes haggle final packages. furious"
3006080,109004,F,273665.92,1994-06-01,2-HIGH,"Clerk#000000430",0,"iously ironic foxes. carefully even attainments are furiously accou"
3006081,78605,F,142455.12,1995-02-05,3-MEDIUM,"Clerk#000000819",0,"ng to the carefully regular foxes detec"
3006082,60061,F,20011.53,1993-06-09,3-MEDIUM,"Clerk#000000962",0,"eep. requests haggle furiously across the regular deposits. unusu"
3006083,89015,O,224775.83,1995-06-28,1-URGENT,"Clerk#000000743",0,"final ideas are. regular t"
3006084,119116,F,125711.62,1993-12-16,1-URGENT,"Clerk#000000712",0,"slyly according to the carefully even instructions. special requests impress. "
3006085,55753,O,77477.54,1996-05-10,1-URGENT,"Clerk#000000279",0," the ironically silent instructions affix blithely fluff"
3006086,129292,O,110097.57,1998-01-25,3-MEDIUM,"Clerk#000000091",0,"ake carefully special,"
3006087,98767,F,5781.61,1993-08-25,2-HIGH,"Clerk#000000723",0,"ds hinder slyly express packages. furious"
3006112,53819,F,218564.23,1994-12-23,2-HIGH,"Clerk#000000645",0,"refully even asymptotes. furiously bold dependencie"
3006113,27463,O,51422.97,1997-04-10,2-HIGH,"Clerk#000000063",0,"rate. final accounts are careful"
3006114,19438,F,158485.85,1992-08-26,2-HIGH,"Clerk#000000355",0,"lithely bold ideas. slyly "
3006115,126520,O,104638.86,1996-07-06,2-HIGH,"Clerk#000000495",0,"uests. regular accounts use blithe"
3006116,6764,F,54184.43,1992-12-13,3-MEDIUM,"Clerk#000000095",0,"riously-- furiously pending orbits cajole regular packages. f"
3006117,117451,O,230299.45,1996-04-18,5-LOW,"Clerk#000000946",0,"its haggle. patterns breach furiously deposits."
3006118,129650,O,330281.48,1998-02-11,2-HIGH,"Clerk#000000685",0,"pecial deposits. permanently regular accoun"
3006119,126601,F,123097.79,1994-04-26,2-HIGH,"Clerk#000000425",0,"he quickly regular asymptotes run carefull"
3006144,3173,F,253801.26,1993-09-24,"4-NOT SPECIFIED","Clerk#000000970",0,"gular deposits. idly special ideas solve request"
3006145,70834,F,25320.41,1993-01-23,"4-NOT SPECIFIED","Clerk#000000602",0,"efully ironic patterns. final foxes use furiously ironic accounts. slyly ex"
3006146,91255,O,231974.86,1997-12-30,2-HIGH,"Clerk#000000866",0,"ounts affix blithely regular dependencies. furiously ruthless deposits un"
3006147,102046,F,142965.58,1994-06-13,"4-NOT SPECIFIED","Clerk#000000254",0,"ses impress across the requests. fur"
3006148,114862,O,127853.68,1996-03-10,"4-NOT SPECIFIED","Clerk#000000687",0,"silent ideas. accounts "
3006149,114454,F,266333.46,1992-05-15,5-LOW,"Clerk#000000965",0,"s. quickly even instructions along the blithely bold depos"
3006150,11806,O,155279.97,1996-04-28,"4-NOT SPECIFIED","Clerk#000000919",0," furiously express pinto beans poach across the blithely e"
3006151,93613,F,113820.04,1992-04-16,1-URGENT,"Clerk#000000689",0," instructions-- requests boost furiously against the fluffily regular req"
3006176,122039,O,328297.54,1997-08-31,2-HIGH,"Clerk#000000905",0,"or the quickly regular "
3006177,6808,F,388039.68,1994-01-13,"4-NOT SPECIFIED","Clerk#000000149",0,"xcuses cajole-- car"
3006178,91706,O,307750.53,1997-12-10,"4-NOT SPECIFIED","Clerk#000000341",0," across the slyly regular instructions. unusual deposits"
3006179,39181,O,176356.73,1997-11-20,"4-NOT SPECIFIED","Clerk#000000640",0,"gular requests. furiously "
3006180,145358,O,255498.36,1995-06-09,"4-NOT SPECIFIED","Clerk#000000732",0,"slyly above the slyly express ins"
3006181,119842,O,250572.04,1997-06-03,2-HIGH,"Clerk#000000162",0,"ut the even deposits. regular depths haggle sl"
3006182,114091,O,131993.10,1996-12-17,"4-NOT SPECIFIED","Clerk#000000394",0,"ly across the theodol"
3006183,61942,F,109080.38,1994-04-19,2-HIGH,"Clerk#000000720",0,"en accounts doze. furiously bold ideas according to the final "
3006208,29648,O,142211.73,1998-01-22,1-URGENT,"Clerk#000000705",0,"lyly! final, even theodolites haggle furiously ironi"
3006209,127306,F,221319.41,1994-04-07,"4-NOT SPECIFIED","Clerk#000000410",0,"bout the slyly special deposits boost blithely across the carefu"
3006210,25568,P,117554.44,1995-04-28,2-HIGH,"Clerk#000000569",0,"cies wake carefully slyly pending theod"
3006211,116272,O,24261.04,1998-05-27,1-URGENT,"Clerk#000000723",0,"according to the regularly express instructions"
3006212,129263,O,133720.12,1997-01-05,5-LOW,"Clerk#000000436",0,"s the unusual, express requests boost accounts. b"
3006213,70877,O,62393.10,1995-08-08,1-URGENT,"Clerk#000000582",0,"y bold attainments cajole slyly. slyly final theodolites are alongside of"
3006214,72322,F,203155.39,1992-04-03,3-MEDIUM,"Clerk#000000556",0," packages. special requests wake furiously express theod"
3006215,58643,O,112681.33,1997-02-20,3-MEDIUM,"Clerk#000000690",0,"uctions dazzle carefully fluffily express fox"
3006240,100273,O,206329.67,1998-06-06,3-MEDIUM,"Clerk#000000500",0,"eful dependencies. fluffily ironic accounts are about the"
3006241,13129,F,83907.91,1993-08-05,2-HIGH,"Clerk#000000695",0,"integrate requests. express accounts are carefully even, even ideas. ac"
3006242,2305,F,264227.09,1993-02-15,2-HIGH,"Clerk#000000608",0,"ts sleep furiously. final instructions cajole by the carefully ironic package"
3006243,7322,O,193961.45,1995-09-26,1-URGENT,"Clerk#000000255",0,"c epitaphs are slyly"
3006244,49628,O,164907.81,1995-07-18,"4-NOT SPECIFIED","Clerk#000000212",0,"uriously final packages grow carefully regular accounts. daring package"
3006245,87044,O,82147.92,1995-10-07,3-MEDIUM,"Clerk#000000027",0,"es haggle furiously pending packages; quickly regula"
3006246,146377,F,116828.49,1993-04-12,"4-NOT SPECIFIED","Clerk#000000039",0,"press ideas will wake bl"
3006247,147079,O,25238.06,1995-12-01,3-MEDIUM,"Clerk#000000180",0,"osits. furiously regular packages dazzle furio"
3006272,100393,F,247284.79,1994-10-09,1-URGENT,"Clerk#000000749",0,"al deposits. carefully final requests affix slyly"
3006273,94660,O,224285.61,1997-06-17,5-LOW,"Clerk#000000319",0,"ackages hang furiously"
3006274,43391,O,38306.15,1998-02-07,5-LOW,"Clerk#000000878",0,"ajole ruthlessly. quickly regular instruction"
3006275,122171,O,214296.55,1995-11-04,1-URGENT,"Clerk#000000748",0," even packages. ironic deposits wake carefully. sly"
3006276,126419,F,417594.25,1993-07-27,5-LOW,"Clerk#000000059",0,"ackages wake furiously bold deposits. fluffily final foxes sle"
3006277,122611,F,73522.34,1992-11-19,3-MEDIUM,"Clerk#000000137",0,"oss the quietly bold pains"
3006278,10012,F,255634.44,1993-03-04,2-HIGH,"Clerk#000000566",0,"inal requests. slyly bold deposits w"
3006279,110390,F,19362.32,1993-03-24,3-MEDIUM,"Clerk#000000081",0,"ggle quickly ironic ideas. "
3006304,111104,O,271538.30,1996-05-02,"4-NOT SPECIFIED","Clerk#000000032",0,"s across the carefu"
3006305,111100,F,29497.24,1992-10-13,2-HIGH,"Clerk#000000219",0,"s boost slowly among the final deposits. furio"
3006306,42059,O,169495.53,1997-10-28,2-HIGH,"Clerk#000000869",0,"iously regular dependencies. even, "
3006307,81461,F,108760.89,1993-11-29,3-MEDIUM,"Clerk#000000778",0,"d asymptotes. special, express pinto beans boost carefully i"
3006308,59111,F,85641.72,1994-08-15,3-MEDIUM,"Clerk#000000587",0,"against the slyly even warhorses. instructions along the excuses so"
3006309,26974,F,48108.30,1994-06-08,2-HIGH,"Clerk#000000862",0," bold ideas about the bold dep"
3006310,20788,F,53394.20,1994-05-21,"4-NOT SPECIFIED","Clerk#000000587",0," platelets. unusual foxes sleep final instructions"
3006311,22327,O,145520.67,1997-05-31,5-LOW,"Clerk#000000865",0,"ly along the slyly silent packages. fi"
3006336,68245,F,350209.53,1993-11-08,5-LOW,"Clerk#000000768",0,"ironic courts use platelets. qu"
3006337,63145,O,311828.76,1998-05-27,2-HIGH,"Clerk#000000619",0,"after the ironic, express pinto beans sleep atop the carefully unusual depo"
3006338,149900,F,33975.92,1994-12-05,5-LOW,"Clerk#000000772",0,"ld, ironic dependencies wake blithely after the furiously special"
3006339,106519,O,88261.89,1997-03-06,5-LOW,"Clerk#000000928",0,"e around the ironic packages. slyly ironic theodolites promise slyly silently "
3006340,142942,O,86818.17,1998-02-14,1-URGENT,"Clerk#000000882",0,"he regular packages are carefully under the furiously permanen"
3006341,11416,F,125009.10,1992-12-02,2-HIGH,"Clerk#000000305",0,"e special ideas. slyly final pinto beans above the furiously unusual"
3006342,616,O,153400.40,1997-12-03,5-LOW,"Clerk#000000164",0,"counts. requests are quickly. slowly bold accou"
3006343,122743,F,187971.01,1992-11-20,5-LOW,"Clerk#000000025",0," final accounts cajole. quickly even instructions x-ra"
3006368,110929,O,100172.15,1998-05-07,3-MEDIUM,"Clerk#000000713",0,"d deposits. regular accounts use fluffily final dependencies. requests are "
3006369,10673,F,132046.25,1992-03-14,1-URGENT,"Clerk#000000978",0,"quickly regular decoys. dolphins haggle "
3006370,116381,F,84009.79,1994-02-03,5-LOW,"Clerk#000000484",0,"ctions. blithely ev"
3006371,6832,O,28570.05,1997-02-19,"4-NOT SPECIFIED","Clerk#000000012",0,"ieve against the quickly regular courts."
3006372,55669,F,183242.18,1992-07-23,2-HIGH,"Clerk#000000032",0,"ily bold deposits. frets are carefully. pending packages cajole blithel"
3006373,56870,O,52614.00,1995-09-10,3-MEDIUM,"Clerk#000000049",0,"ackages. slyly special deposits about the carefully ironic theodolite"
3006374,4346,O,209561.39,1996-01-30,2-HIGH,"Clerk#000000703",0," deposits. furiously close foxes kindle furi"
3006375,138865,F,47061.52,1993-09-20,3-MEDIUM,"Clerk#000000524",0," final accounts are slyly according to the quickly "
3006400,31409,O,113716.63,1995-09-26,3-MEDIUM,"Clerk#000000122",0,"ding requests haggle quickly. bold, even requests use slyly i"
3006401,35872,F,123297.17,1993-07-16,2-HIGH,"Clerk#000000367",0,"dependencies haggle ironic accounts. fluffily ironic pla"
3006402,24646,O,142933.72,1998-05-04,3-MEDIUM,"Clerk#000000305",0,"iously final foxes boost carefully along the daring, u"
3006403,72436,O,181225.33,1996-01-16,2-HIGH,"Clerk#000000386",0,"uctions after the bravely special instructions enga"
3006404,4151,F,61116.53,1994-04-27,5-LOW,"Clerk#000000681",0,"olites. quickly special accounts sleep above the platelets. fu"
3006405,8026,O,43057.23,1995-10-24,2-HIGH,"Clerk#000000692",0,"e carefully against the slyly idle foxes. requests "
3006406,19699,F,287077.59,1992-01-07,5-LOW,"Clerk#000000319",0," special accounts haggle along the slyly express dep"
3006407,16870,O,104256.82,1996-01-04,3-MEDIUM,"Clerk#000000721",0,"inst the fluffily bold grouches. qu"
3006432,21664,O,63865.25,1996-06-06,2-HIGH,"Clerk#000000982",0,"the excuses. final, ironic re"
3006433,41657,O,252448.87,1995-07-04,1-URGENT,"Clerk#000000007",0,"yly ironic asymptotes wake between the quickly ironic orbits. excuse"
3006434,62573,O,280371.83,1998-05-29,5-LOW,"Clerk#000000416",0," regular, final courts haggle furiously final theodolites. re"
3006435,4366,O,10937.62,1996-04-04,3-MEDIUM,"Clerk#000000707",0," packages detect. even, unusual foxes nag carefully quickly permanent foxes. "
3006436,8020,O,134293.00,1997-02-03,"4-NOT SPECIFIED","Clerk#000000304",0,"cajole across the final pinto beans. ironic foxes according to "
3006437,89795,F,235628.45,1992-10-16,"4-NOT SPECIFIED","Clerk#000000175",0,"le carefully furiously "
3006438,18668,F,161487.95,1992-05-16,1-URGENT,"Clerk#000000667",0,"y carefully regular braids. accounts haggle blithely. caref"
3006439,93566,O,221533.75,1997-12-19,"4-NOT SPECIFIED","Clerk#000000261",0,"he express requests. slyly final notornis nag slyly regular inst"
3006464,107270,O,158481.96,1997-02-06,1-URGENT,"Clerk#000000466",0,"ding foxes wake slyly against the special hockey playe"
3006465,22186,O,23349.37,1996-05-07,"4-NOT SPECIFIED","Clerk#000000354",0,"s requests around the blithely reg"
3006466,118657,O,322040.80,1997-09-10,3-MEDIUM,"Clerk#000000300",0,"sias. furiously bold ideas i"
3006467,1307,F,185461.43,1993-04-08,"4-NOT SPECIFIED","Clerk#000000646",0,"ckly furiously even deposits-- accounts along the special, pending pint"
3006468,52582,F,3206.26,1993-09-12,5-LOW,"Clerk#000000038",0,"fully final courts use carefully along the blithely ironic a"
3006469,74083,O,169808.36,1995-10-08,3-MEDIUM,"Clerk#000000749",0,"eep; ironically ironic packages caj"
3006470,102976,F,304201.87,1994-08-03,"4-NOT SPECIFIED","Clerk#000000265",0,"n ideas. deposits mold"
3006471,4459,O,204063.88,1996-09-26,5-LOW,"Clerk#000000460",0,"ven hockey players believe. ca"
3006496,88795,F,228285.47,1993-06-22,2-HIGH,"Clerk#000000122",0,"latelets impress regular d"
3006497,144859,O,189814.31,1998-04-30,3-MEDIUM,"Clerk#000000948",0,"uriously asymptotes-- blithely ironic accounts are. regular acco"
3006498,133888,F,27251.57,1994-12-15,"4-NOT SPECIFIED","Clerk#000000392",0," cajole blithely. regular, regular requests nag blithely. "
3006499,80672,O,81687.28,1998-01-06,1-URGENT,"Clerk#000000294",0,"s integrate carefully against the bl"
3006500,146989,O,279114.86,1997-01-11,1-URGENT,"Clerk#000000548",0,"s requests along the requests haggle about the expr"
3006501,86224,F,255350.19,1992-08-10,2-HIGH,"Clerk#000000772",0,"ronic packages. regular accounts across the final dolphins "
3006502,9058,O,63247.80,1995-05-10,3-MEDIUM,"Clerk#000000288",0,"ular instructions are. special requests boost slyly fluffily f"
3006503,118366,F,125021.90,1994-06-22,5-LOW,"Clerk#000000890",0,"efully express packages. final orbits sleep blithely. eve"
3006528,62351,O,342667.60,1996-08-18,2-HIGH,"Clerk#000000982",0,"ly pending frets around the final, final i"
3006529,19082,F,374578.37,1992-08-02,1-URGENT,"Clerk#000000482",0,"symptotes use slyly furiously even packag"
3006530,5989,O,220467.60,1997-12-19,3-MEDIUM,"Clerk#000000622",0,"uriously regular, regular ideas. carefully even ideas above the blithely fin"
3006531,131056,O,130008.18,1996-01-26,1-URGENT,"Clerk#000000078",0,"lithely furiously even accounts. slyly bold requests wake against the"
3006532,51787,O,96984.19,1998-06-16,5-LOW,"Clerk#000000764",0," courts. furiously unusual Tiresias nag except the"
3006533,83572,F,190511.96,1992-11-10,1-URGENT,"Clerk#000000478",0,"efully even deposits nag across the unusual, final packages. carefully "
3006534,136318,F,52121.92,1994-02-26,3-MEDIUM,"Clerk#000000134",0,"ts. ironic theodolites are carefully above the ideas. slyly"
3006535,137602,O,43404.63,1996-05-11,"4-NOT SPECIFIED","Clerk#000000734",0,"rhorses. enticing frets about the u"
3006560,118045,O,105321.88,1996-12-03,"4-NOT SPECIFIED","Clerk#000000644",0,"the quickly bold theodolites."
3006561,68954,F,221125.59,1992-05-18,2-HIGH,"Clerk#000000533",0,"en foxes wake furiously. ironic ideas ha"
3006562,5563,F,233773.07,1995-02-22,3-MEDIUM,"Clerk#000000756",0,"g packages are furiously. carefully bold platelets about t"
3006563,40237,F,249308.26,1993-03-02,3-MEDIUM,"Clerk#000000029",0,"escapades? special sheaves sleep fluffil"
3006564,46466,O,72890.05,1995-08-07,5-LOW,"Clerk#000000343",0,"s. unusual requests sleep across "
3006565,46234,O,246181.01,1996-07-20,5-LOW,"Clerk#000000486",0,"onic, unusual deposits. special deposits wake "
3006566,43903,O,141135.93,1996-01-20,5-LOW,"Clerk#000000222",0,"uests. quickly final ideas are slyly i"
3006567,16436,O,129423.17,1995-11-26,2-HIGH,"Clerk#000000151",0,"ironic ideas against the ironic deposits"
3006592,78799,F,31928.76,1993-07-09,1-URGENT,"Clerk#000000783",0,"regular gifts. carefully special courts grow qui"
3006593,18841,O,234885.09,1996-09-26,"4-NOT SPECIFIED","Clerk#000000634",0,"along the quietly bold asymptotes"
3006594,141739,F,95083.07,1992-08-23,5-LOW,"Clerk#000000889",0,"nusual accounts. slyly silent warhorses print furiously unusual"
3006595,51175,O,135632.95,1997-05-04,1-URGENT,"Clerk#000000215",0," regular, ironic accounts sleep. packages sleep quickly. furiously pendin"
3006596,134542,F,35876.80,1993-10-21,5-LOW,"Clerk#000000041",0,"even deposits toward the carefully silent pinto beans pro"
3006597,125696,O,80585.18,1998-01-28,1-URGENT,"Clerk#000000610",0,"uickly final foxes nag quickly according to the furiously fi"
3006598,121034,F,37700.56,1992-11-19,2-HIGH,"Clerk#000000742",0,"n requests. regular, special ideas along the express packages wak"
3006599,55171,F,16336.65,1993-12-25,5-LOW,"Clerk#000000170",0,"final ideas impress slyly carefully fina"
3006624,107108,F,78308.19,1992-06-02,3-MEDIUM,"Clerk#000000745",0,"ironic dolphins int"
3006625,147698,O,209894.91,1997-05-08,5-LOW,"Clerk#000000916",0,"heodolites. slyly silent theodolites cajole furiously against the real"
3006626,7384,F,76883.40,1994-05-08,"4-NOT SPECIFIED","Clerk#000000456",0,"lly regular pinto beans. fu"
3006627,46723,O,64090.87,1996-11-21,1-URGENT,"Clerk#000000876",0,"s-- excuses cajole regular accounts."
3006628,19796,F,71498.37,1994-08-28,3-MEDIUM,"Clerk#000000391",0,"resias sleep. carefully sile"
3006629,11357,O,189130.26,1997-03-17,"4-NOT SPECIFIED","Clerk#000000309",0,"ic multipliers are furiously after the slowly final Tiresias. ironic, "
3006630,69284,O,196957.82,1998-07-16,3-MEDIUM,"Clerk#000000050",0," requests among the platelets wake blithely ab"
3006631,2023,O,231400.83,1995-11-29,"4-NOT SPECIFIED","Clerk#000000981",0,"ructions. slyly final packages dazzle carefully exp"
3006656,97471,O,195215.20,1996-01-26,1-URGENT,"Clerk#000000149",0,"ously silent excuses. specia"
3006657,25526,F,170053.30,1995-01-25,3-MEDIUM,"Clerk#000000399",0,"efore the blithely pending gifts wa"
3006658,7847,F,234821.44,1994-11-14,3-MEDIUM,"Clerk#000000980",0,"quests detect slyly bold instructions. furiously final hockey "
3006659,18064,O,168025.10,1997-11-13,2-HIGH,"Clerk#000000194",0,"ironic, ironic excuses cajole. furiously enticing accounts sublate. s"
3006660,139444,F,179710.81,1994-02-13,2-HIGH,"Clerk#000000443",0,"y final excuses? ideas after the furiously careful packa"
3006661,21412,O,59815.53,1998-07-03,5-LOW,"Clerk#000000776",0,"ts thrash furiously even, "
3006662,140401,O,3708.28,1997-04-26,5-LOW,"Clerk#000000869",0,"ns are along the packages. ru"
3006663,46436,F,325084.05,1994-08-10,2-HIGH,"Clerk#000000085",0,"g foxes. slyly even deposits about the fluffily express i"
3006688,137968,F,100334.11,1993-03-17,1-URGENT,"Clerk#000000410",0,"xcuses-- carefully regular requests haggle. slyly furious accounts nag ou"
3006689,111635,O,326497.81,1997-07-04,1-URGENT,"Clerk#000000098",0,"nal notornis cajole about the special theodo"
3006690,41119,F,226868.51,1992-12-25,"4-NOT SPECIFIED","Clerk#000000418",0,"requests. special deposits about the qu"
3006691,5012,O,23132.21,1998-06-04,2-HIGH,"Clerk#000000978",0,"gular packages cajole furiously care"
3006692,72695,O,116730.16,1998-02-21,"4-NOT SPECIFIED","Clerk#000000716",0,"nusual foxes nag across the slyly bold packages. final accounts"
3006693,19093,O,10026.71,1998-06-19,5-LOW,"Clerk#000000974",0,"regular sauternes. fluffily unusual theodolites nag carefully ironic instruc"
3006694,42073,P,206785.98,1995-03-25,1-URGENT,"Clerk#000000332",0," instructions alongside of the furio"
3006695,9007,F,242390.88,1992-01-09,3-MEDIUM,"Clerk#000000186",0,"ep furiously about the bold foxes. carefully unusual multip"
3006720,15071,O,185904.44,1995-12-12,3-MEDIUM,"Clerk#000000158",0,"ular packages haggle bli"
3006721,97231,P,134878.76,1995-03-16,3-MEDIUM,"Clerk#000000354",0," even platelets haggle along the slyly ironic accounts. requests are blith"
3006722,56453,F,92271.75,1993-06-27,1-URGENT,"Clerk#000000147",0,"gifts haggle. slyly bold "
3006723,53540,F,244236.31,1993-10-03,"4-NOT SPECIFIED","Clerk#000000293",0,"slyly pending deposits? quickl"
3006724,131419,O,52218.00,1995-08-17,3-MEDIUM,"Clerk#000000979",0,"lyly final sauternes are blithely "
3006725,147725,F,334115.26,1993-05-15,2-HIGH,"Clerk#000000547",0," accounts integrate along th"
3006726,148451,O,122814.61,1996-08-18,2-HIGH,"Clerk#000000378",0,"onic foxes. blithely ironic requests"
3006727,56081,O,290714.61,1995-08-09,2-HIGH,"Clerk#000000575",0,"ts haggle. slyly ironic pa"
3006752,91138,O,69959.48,1998-02-19,2-HIGH,"Clerk#000000256",0,"al theodolites. even req"
3006753,77518,F,66466.08,1994-05-29,1-URGENT,"Clerk#000000230",0,"refully regular multipliers c"
3006754,66100,F,62460.74,1992-11-13,1-URGENT,"Clerk#000000365",0,"gside of the furiously unusual instruc"
3006755,25408,F,165475.32,1994-12-29,5-LOW,"Clerk#000000998",0,"gle slyly regular foxes. instructions cajole in place of th"
3006756,117385,O,43824.12,1995-08-01,"4-NOT SPECIFIED","Clerk#000000035",0,"n requests-- foxes about the fluffily fluffy asym"
3006757,64942,F,10109.95,1995-01-22,5-LOW,"Clerk#000000986",0,"al requests must have to integrate about the f"
3006758,75742,F,34649.09,1994-07-17,5-LOW,"Clerk#000000996",0,"al pinto beans run according to the blithely even requests. quick"
3006759,88255,P,270913.82,1995-03-28,"4-NOT SPECIFIED","Clerk#000000617",0,"ate closely at the specia"
3006784,74275,O,239219.33,1998-06-25,5-LOW,"Clerk#000000475",0," requests. quiet foxes print; s"
3006785,10183,O,72421.07,1998-07-07,3-MEDIUM,"Clerk#000000187",0,"into beans. carefully ironic pinto beans wake blithely across the"
3006786,138928,O,144559.96,1998-06-10,1-URGENT,"Clerk#000000627",0,"regular excuses cajole furiously dolphins. busily b"
3006787,59584,O,216559.02,1998-02-27,1-URGENT,"Clerk#000000352",0,"nic ideas sleep requests. ironic accounts wake. even deposits slee"
3006788,148603,F,294828.09,1993-08-26,3-MEDIUM,"Clerk#000000635",0," quickly. fluffily silent warhorses according to the furio"
3006789,60581,F,132579.54,1993-10-09,3-MEDIUM,"Clerk#000000888",0,"ests haggle above the carefully final platelets-- furiously bol"
3006790,121381,O,16760.00,1996-06-05,1-URGENT,"Clerk#000000710",0,"es affix furiously. ironic requests are fluffily. fluffily"
3006791,47843,F,210095.83,1992-12-29,2-HIGH,"Clerk#000000855",0,"lar braids. ironic requests boost blithely fluffily express requests; re"
3006816,86816,O,22826.80,1997-10-02,"4-NOT SPECIFIED","Clerk#000000322",0,"en packages sleep-- blithely pending a"
3006817,63652,O,232686.09,1996-07-23,3-MEDIUM,"Clerk#000000240",0,"uriously unusual dependencies nag furiously expre"
3006818,140392,F,199739.04,1993-03-21,5-LOW,"Clerk#000000553",0,". express, bold grouches use slyly. special ideas are until the ironic, i"
3006819,65371,F,57778.90,1994-09-13,1-URGENT,"Clerk#000000975",0,"iments affix quickly across the furiously enticing notornis. fluffy de"
3006820,77245,F,60377.31,1994-09-04,"4-NOT SPECIFIED","Clerk#000000990",0,"ic requests along the even ideas us"
3006821,141547,O,140457.70,1997-10-13,"4-NOT SPECIFIED","Clerk#000000303",0,"across the pending deposits affix along the fina"
3006822,110818,O,132890.12,1998-05-18,3-MEDIUM,"Clerk#000000131",0,"nal packages. express, regular accounts use sometimes pend"
